doc_id,label,category,year,text,split,source,journalTitle,doi,pubType
39145034_MED,d,MCI,2024,Alzheimer s disease stage recognition MRI PET imaging data using Pareto optimal quantum dynamic optimization threat posed Alzheimer s disease,train,MED,,10.1016/j.heliyon.2024.e34402,
40868268_MED,d,MCI,2025,Deep Learning Approach Alzheimer s Diagnosis Using EEG Data Dual Attention Optuna Optimized SVM b Background Objectives b Alzheimer s,train,MED,,10.3390/biomedicines13082017,
41068341_MED,d,MCI,2025,Machine learning based estimation mild cognitive impairment stage using multimodal physical behavioral measures Mild cognitive impairment MCI prodromal stage dementia,train,MED,,10.1038/s41598-025-19364-1,
39736681_MED,e,Lewy body dementia,2024,Scrutinizing neurodegenerative diseases decoding complex genetic architectures multi omics lens Neurodegenerative diseases present complex genetic architectures reflecting continuum monogenic oligogenic,train,MED,,10.1186/s40246-024-00704-7,
41001154_MED,d,MCI,2025,Mapping research landscape Mild Cognitive Impairment Parkinson s disease bibliometric visualization analysis h4 Background h4 Mild Cognitive Impairment Parkinson s,train,MED,,10.3389/fnagi.2025.1624420,
39995515_MED,c,Vascular dementia,2025,QUIET WARRIOR Rationale design ancillary study Women s IschemiA TRial Reduce Events Nonobstructive CAD WARRIOR h4 Background h4 Cardiovascular disease,train,MED,,10.1016/j.ahjo.2025.100508,
41005987_MED,a,Alzheimer,2025,Low Cost 3D Printed Mazes Open Source ML Tracking Mouse Behavior Behavioral neuroscience research requires substantial financial investment specialized equipment,train,MED,,10.1523/eneuro.0141-25.2025,
40807108_MED,b,Parkinson,2025,Large Language Models Adverse Drug Events Clinical Perspective Adverse drug events ADEs significantly impact patient safety health outcomes Manual ADE,train,MED,,10.3390/jcm14155490,
36148658_MED,c,Vascular dementia,2022,Willis Lecture Biomarkers Inflammatory White Matter Injury Binswanger Disease Provide Pathways Precision Medicine Binswanger disease small vessel form vascular cognitive,train,MED,,10.1161/strokeaha.122.039211,
39266669_MED,c,Vascular dementia,2024,motive cocktail altruistic behaviors Prosocial motives social equality efficiency key altruistic behaviors predicting range altruistic behaviors varying contexts individuals proves,train,MED,,10.1038/s43588-024-00685-6,
40376348_MED,d,MCI,2025,Role Generative Artificial Intelligence Personalized Medicine Systematic Review Precision medicine presents challenges data collection cost privacy tailors treatments patient s,train,MED,,10.7759/cureus.82310,
PPR1119011_PPR,d,MCI,2025,Regional brain aging patterns reveal disease specific pathways neurodegeneration heterogeneity brain aging hallmark neurological psychiatric disorders machine learning tools used,train,PPR,,10.1101/2025.11.12.25339989,
40790571_MED,b,Parkinson,2025,Leveraging BERT embedding ICD codes large scale cardiovascular EMR data understand patient diagnostic patterns integration electronic medical records EMRs artificial,train,MED,,10.1186/s12911-025-03145-x,
39902153_MED,c,Vascular dementia,2024,Optimizing Machine Learning Models Accessible Early Cognitive Impairment Prediction Novel Cost effective Model Selection Algorithm Cognitive impairment dementia related diseases,train,MED,,10.1109/access.2024.3505038,
40770222_MED,a,Alzheimer,2025,Alzheimer s disease risk prediction using machine learning survival analysis comorbidity based approach Alzheimer s disease AD presents pressing global,train,MED,,10.1038/s41598-025-14406-0,
41463017_MED,a,Alzheimer,2025,Machine Learning Enabled Medical Devices Authorized Food Drug Administration 2024 Regulatory Characteristics Predicate Lineage Transparency Reporting b Background b Food,train,MED,,10.3390/biomedicines13123005,
40867185_MED,e,Lewy body dementia,2025,Automated Sleep Stage Classification Using PSO Optimized LSTM CAP EEG Sequences automatic classification sleep stages Cyclic Alternating Pattern CAP subtypes,train,MED,,10.3390/brainsci15080854,
40062487_MED,a,Alzheimer,2025,Leveraging Artificial Intelligence Inform Care Coordination Identifying Intervening Patients Unmet Social Needs Scoping Review h4 Aim h4 reviewed artificial intelligence,train,MED,,10.1111/jan.16874,
39904802_MED,c,Vascular dementia,2025,Integration remote sensing machine learning algorithm agricultural drought early warning Genale Dawa river basin Ethiopia Drought remains menace Horn Africa,train,MED,,10.1007/s10661-025-13708-0,
39851299_MED,e,Lewy body dementia,2024,Spatial Cognitive EEG Feature Extraction Classification Based MSSECNN PCMI aging population rising decline spatial cognitive ability critical issue affecting quality,train,MED,,10.3390/bioengineering12010025,
39720127_MED,a,Alzheimer,2024,Artificial Intelligence Revolutionary Role Physical Mental Rehabilitation Review Recent Advancements integration artificial intelligence AI technologies physical mental rehabilitation potential significantly,train,MED,,10.1155/bmri/9554590,
41485703_MED,d,MCI,2026,Synergistic integration clinical multi omics data early MCI diagnosis using attention based graph fusion network h4 Background h4 Mild cognitive,train,MED,,10.1016/j.jneumeth.2025.110664,
37663348_MED,c,Vascular dementia,2023,Intelligence humans machines joint perspective paper aims address divergences contradictions definition intelligence different areas knowledge particularly computational intelligence psychology concept,train,MED,,10.3389/fpsyg.2023.1209761,
41440512_MED,b,Parkinson,2025,Artificial Intelligence Risk Stratification Diffuse Large B Cell Lymphoma Systematic Review Classification Models Predictive Performances b Background b Diffuse large,train,MED,,10.3390/medsci13040280,
40104921_MED,a,Alzheimer,2025,Role AI Modern Hernia Surgery Review Practical Insights BackgroundArtificial intelligence AI revolutionizing various aspects health care particularly surgical field offers,train,MED,,10.1177/15533506251328481,
41130478_MED,b,Parkinson,2025,Identification defensins using transformer derived protein embeddings discrete cosine transformation enhanced evolutionary features generative adversarial capsule bidirectional temporal convolutional neural,train,MED,,10.1016/j.ijbiomac.2025.148336,
40614523_MED,a,Alzheimer,2025,Transformer attention based neural network cognitive score estimation sMRI data Accurately predicting cognitive scores based structural MRI holds significant clinical,train,MED,,10.1016/j.compbiomed.2025.110579,
40399405_MED,b,Parkinson,2025,precision agriculture tea leaf disease detection using CNNs image processing study introduce groundbreaking deep learning DL model designed precise task,train,MED,,10.1038/s41598-025-02378-0,
39737836_MED,c,Vascular dementia,2025,Non Invasive Diagnosis Moyamoya Disease Using Serum Metabolic Fingerprints Machine Learning Moyamoya disease MMD progressive cerebrovascular disorder increases risk intracranial,train,MED,,10.1002/advs.202405580,
41674512_MED,c,Vascular dementia,2026,Temporal comorbidity patterns Alzheimer s disease vascular dementia population based observational study UK Biobank h4 Introduction h4 Alzheimer s disease,train,MED,,10.1002/dad2.70265,
41156474_MED,b,Parkinson,2025,Application Artificial Intelligence Technologies Intervention Promoting Healthy Eating Nutrition Older Adults Systematic Literature Review b Background Objectives b aging population,train,MED,,10.3390/nu17203223,
