doc_id,label,category,year,text,split,source,journalTitle,doi,pubType
41130534_MED,d,MCI,2025,Aging active player Alzheimer s disease classification Insights feature selection BrainAge models h4 Background h4 BrainAge models estimate biological age brain using neuroimaging clinical features making promising tools studying neurodegenerative diseases like Alzheimer s disease reliance BrainAge models neuroimaging features grey matter volume hippocampal atrophy introduce biases linked individuals ages features influenced normal aging Alzheimer s disease progression potential presence age biases raises critical question BrainAge models trained estimate biological brain aging make meaningful contributions Alzheimer s diagnosis does introduced age bias conflate aging effects disease pathology Understanding deliberate feature selection impacts confounding effect essential developing reliable age related biomarkers h4 Methodology h4 ranked neuroimaging neuropsychological features based mutual information age discriminative power clinical groups cognitively normal Mild Cognitive Impairment Alzheimer s Disease stable Mild Cognitive Impairment progressive Mild Cognitive Impairment Iteratively trained BrainAge models using different subsets features optimized predicting aging discrimination clinical Alzheimer s disease stages assess error,train,MED,,10.1016/j.neuroimage.2025.121548,
41240282_MED,d,MCI,2025,Multi marker discovery mild cognitive impairment metabolomics using machine learning global surrogate model partial squares h4 Introduction h4 Dementia prevented early intervention urgent need biomarkers help diagnose mild cognitive impairment MCI h4 Objectives h4 aimed develop multi marker panel composed plasma metabolites aid diagnosis MCI h4 Methods h4 performed analysis multi marker panel MCI metabolites using random forest algorithm variable selection methods global surrogate principal component analysis partial squares PLS h4 Results h4 incorporating variable selection methods constructed predictive model demonstrated robust performance AUC approximately 0 85 cross validation test evaluations using metabolites methionine quinic acid hypoxanthine O acetylcarnitine 2 oxoglutaric acid owing limited number selected metabolites challenging infer biological meaning multi marker panel interpret multi marker panel biologically constructed global surrogate model using PLS examining PLS loadings corresponding scores intergroup differences identified relationship 14 metabolites involved neuronal energy metabolism neurotransmission suggests multi marker panel constructed study related abnormalities energy,train,MED,,10.1007/s11306-025-02372-7,
41148189_MED,d,MCI,2025,Diagnostic utility speech based biomarkers mild cognitive impairment systematic review meta analysis h4 Background h4 various tools developed mild cognitive impairment MCI detection analysing speech features non invasive cost effective approach shows promise early detection review aimed systematically synthesise analyse current evidence diagnostic utility speech based biomarkers identifying MCI h4 Methods h4 systematic review meta analysis conducted following Preferred Reporting Items Systematic Reviews Meta Analyses guidelines PubMed Scopus Ovid Medline PsycINFO databases searched April 2025 restrictions language article status year h4 Results h4 4432 identified records 54 peer reviewed articles met inclusion criteria Fixed effects meta analyses showed pooled estimates 80 0 accuracy 95 confidence intervals CI 70 0 89 0 P 001 n 21 78 0 area curve 95 CI 70 0 86 0 P 001 n 21 80 0 sensitivity 95 CI 71 0 90 0 P 001 n 22 77 0 specificity 95 CI 65 0 89,train,MED,,10.1093/ageing/afaf316,
37993458_MED,e,Lewy body dementia,2023,shot prediction amyloid accumulation mainly unpaired data biomarker candidates pair wise observation input target values obtained sample mandatory prediction problem biomarker discovery Alzheimer s disease AD obtaining paired data laborious avoided Accumulation amyloid beta brain precedes neurodegeneration AD quantitative accumulation level reflect disease progression early phase direct observation rarely paired observation biomarker candidates end established method quantitatively predicts accumulation biomarker candidates integrating unpaired observations shot learning approach applied 5xFAD mouse behavioral data proposed method predicted accumulation level conformed observed samples paired data results suggest proposed model contribute discovering predictability based biomarkers,train,MED,,10.1038/s41540-023-00321-5,
40567778_MED,d,MCI,2025,Classification stages Alzheimer s disease based dimensional lightweight neural networks Alzheimer s disease neurodegenerative disease seriously threatens life health elderly study used dimensional lightweight neural networks classify stages Alzheimer s disease explore relationship stages variations brain tissue study used CAT12 preprocess magnetic resonance images brain got kinds preprocessed images standardized images segmented standardized gray matter images segmented standardized white matter images kinds images used train kinds dimensional lightweight neural networks respectively evaluation metrics neural networks calculated accuracies neural networks classifying stages Alzheimer s disease cognitively normal mild cognitive impairment Alzheimer s disease study 96 precisions recalls classifying stages 94 study classification cognitively normal best classification results obtained training segmented standardized gray matter images mild cognitive impairment Alzheimer s disease best classification results obtained training standardized images study analyzed process cognitively normal mild cognitive impairment variations segmented standardized gray matter images obvious beginning variations segmented standardized white matter images obvious disease,train,MED,,10.7717/peerj-cs.2897,
39250700_MED,c,Vascular dementia,2024,Exposure angiotensin converting enzyme inhibitors cross blood brain barrier risk dementia people HIV h4 Background h4 decreased mortality people HIV PWH revealed non HIV associated comorbidities neurocognitive disorders e g dementia urgency discover therapeutics prevent delay neurocognitive decline PWH h4 Methods h4 artificial intelligence platform Automatic Graph mining Transformer based Hypothesis Generation Approach AGATHA utilized seek potential drugs repurposed management non HIV associated dementia AGATHA revealed angiotensin converting enzyme inhibitors cross blood brain barrier BBB ACEi target decreasing dementia Subsequently conducted retrospective study evaluating incident dementia using Veterans Affairs Informatics Computing Infrastructure VINCI evaluating ACE inhibitors Cox proportional hazards models fit hazard ratios HRs corresponding 95 confidence intervals CIs presented h4 Findings h4 total 9419 PWH exposed BBB ACE inhibitor ACEi 8831 PWH unexposed demonstrated PWH exposed BBB ACEi 21 4 univariate 15 2 multivariate lower hazard dementia propensity score matched analysis demonstrated 14 3 lower hazard incident dementia compared,train,MED,,10.1097/qad.0000000000004009,
41155106_MED,a,Alzheimer,2025,NeuroNet AD Multimodal Deep Learning Framework Multiclass Alzheimer s Disease Diagnosis Alzheimer s disease AD prevalent form dementia disease significantly impacts cognitive functions daily activities Early accurate diagnosis AD including preliminary stage mild cognitive impairment MCI critical effective patient care treatment development advancements deep learning DL machine learning ML models improve diagnostic precision lack large datasets limits enhancements necessitating use complementary data Existing convolutional neural networks CNNs effectively process visual features struggle fuse multimodal data effectively AD diagnosis address challenges propose NeuroNet AD novel multimodal CNN framework designed enhance AD classifcation accuracy NeuroNet AD integrates Magnetic Resonance Imaging MRI images clinical text based metadata including psychological test scores demographic information genetic biomarkers NeuroNet AD incorporate Convolutional Block Attention Modules CBAMs ResNet 18 backbone enabling model focus informative spatial channel wise features introduce attention computation multimodal fusion module named Meta Guided Cross Attention MGCA facilitates effective cross modal alignment images meta,train,MED,,10.3390/bioengineering12101107,
40863007_MED,b,Parkinson,2025,Review Machine Learning Assisted Gas Sensor Arrays Medical Diagnosis Volatile organic compounds VOCs present human exhaled breath emerged promising biomarkers non invasive disease diagnosis traditional VOC detection technology relies large instruments widely used high costs cumbersome testing processes Machine learning assisted gas sensor arrays offer compelling alternative enabling accurate identification complex VOC mixtures collaborative multi sensor detection advanced algorithmic analysis work systematically reviews advanced applications machine learning assisted gas sensor arrays medical diagnosis types principles sensors commonly employed disease diagnosis summarized electrochemical optical semiconductor sensors Machine learning methods used improve recognition ability sensor arrays systematically listed including support vector machines SVM random forests RF artificial neural networks ANN principal component analysis PCA addition research progress sensor arrays combined specific algorithms diagnosis respiratory metabolism nutrition hepatobiliary gastrointestinal nervous diseases discussed Finally highlight current challenges associated machine learning assisted gas sensors propose feasible directions future improvement,train,MED,,10.3390/bios15080548,
40860138_MED,c,Vascular dementia,2025,Intermittent fasting reprograms brain proteome prevent synaptic degeneration cognitive impairment vascular dementia b Rationale b Vascular dementia VaD driven chronic cerebral hypoperfusion CCH leads synaptic degeneration cognitive decline mechanisms linking vascular dysfunction synaptic loss remain unclear Intermittent fasting emerged potential intervention effects synaptic integrity VaD unknown study aims investigate effects synaptic degeneration cognitive impairment induced CCH Methods Bilateral common carotid artery stenosis BCAS employed induce chronic CCH placing 0 18 mm micro coils common carotid artery mice assess temporal differences coils remained place 1 7 14 30 days implemented 16 hours daily months prior BCAS induction Cognitive impairment evaluated using Barnes maze test White matter lesions WMLs neuronal loss assessed using Luxol fast blue cresyl violet staining respectively Immunoblotting immunohistochemistry performed quantify synaptic protein levels Synaptic integrity examined using transmission electron microscopy Proteomic analysis hippocampus conducted investigate molecular adaptations following CCH b Results b demonstrate 16 hour regimen preserves cognitive,train,MED,,10.7150/thno.119422,
40800914_MED,c,Vascular dementia,2025,dependence lt sub gt 2 lt sub gt cerebrovascular reactivity CVR caffeine Cerebrovascular reactivity CVR represents important marker brain vascular health particularly context small large vessel diseases undesired feature measure exist large variations CVR values individuals mainly attributed physiological factors test hypothesis caffeine widely consumed neurostimulant significant effect CVR measured MRI Sixteen young healthy participants enrolled categorized caffeine naive N 8 caffeine habituated N 8 groups based caffeine consumption habits CVR assessed sub 2 sub inhalation using different MRI methods phase contrast PC cerebral blood flow CBF T2 EPI Blood Oxygenation Level Dependent BOLD MRI participant underwent MRI sessions oral administration 200 mg caffeine Additionally venous oxygenation Y sub v sub measured using T sub 2 sub Relaxation Spin Tagging TRUST MRI basal physiological parameters significant caffeine induced CBF decrease observed naive p 0 002 habituated p 0 001 groups caffeine naive group exhibited 31 2 14 1 reduction basal,train,MED,,10.1162/imag.a.103,
